accuracy,loss,val_accuracy,val_loss
0.7005494236946106,0.6554765105247498,0.9340659379959106,0.4305349588394165
0.9175823926925659,0.36442428827285767,0.9450549483299255,0.2790261209011078
0.9450549483299255,0.24281500279903412,0.9560439586639404,0.19990359246730804
0.9560439586639404,0.19128067791461945,0.9560439586639404,0.1579393595457077
0.958791196346283,0.15802522003650665,0.9670329689979553,0.1315731257200241
0.9615384340286255,0.13051483035087585,0.9670329689979553,0.112991102039814
0.9725274443626404,0.11273973435163498,0.9780219793319702,0.09890376776456833
0.9670329689979553,0.11802645027637482,0.9780219793319702,0.08779972791671753
0.9725274443626404,0.09580875933170319,0.9780219793319702,0.08000688999891281
0.9807692170143127,0.09208753705024719,0.9780219793319702,0.0729881003499031
0.9780219793319702,0.07963781803846359,0.9780219793319702,0.0696505755186081
0.9807692170143127,0.07936538010835648,0.9780219793319702,0.06619212031364441
0.9807692170143127,0.07448703795671463,0.9780219793319702,0.06329389661550522
0.9835164546966553,0.0652274489402771,0.9780219793319702,0.05975978821516037
0.9780219793319702,0.06996916234493256,0.9780219793319702,0.05639065057039261
0.9890109896659851,0.06873210519552231,0.9890109896659851,0.05402996763586998
0.9835164546966553,0.06848425418138504,0.9890109896659851,0.052317116409540176
0.9835164546966553,0.06667039543390274,0.9890109896659851,0.050146982073783875
0.9807692170143127,0.06117449700832367,0.9890109896659851,0.04985557869076729
0.9862637519836426,0.0606720894575119,0.9890109896659851,0.05068841949105263
0.9862637519836426,0.058052707463502884,0.9890109896659851,0.04975060746073723
0.9807692170143127,0.060703378170728683,0.9890109896659851,0.047556906938552856
0.9862637519836426,0.05070817843079567,0.9780219793319702,0.04866969957947731
0.9917582273483276,0.05291016027331352,0.9780219793319702,0.0474911630153656
0.9862637519836426,0.05713982507586479,0.9780219793319702,0.04659024253487587
0.9890109896659851,0.048189327120780945,0.9890109896659851,0.04508352279663086
0.9890109896659851,0.04345334321260452,0.9890109896659851,0.043818727135658264
0.9835164546966553,0.05070805922150612,0.9890109896659851,0.04241463541984558
0.9890109896659851,0.04744018241763115,0.9890109896659851,0.04062261804938316
0.9890109896659851,0.044304102659225464,0.9890109896659851,0.03915075212717056
0.9917582273483276,0.04318654537200928,0.9890109896659851,0.03663554787635803
0.9890109896659851,0.03668871894478798,0.9890109896659851,0.03776511922478676
0.9862637519836426,0.03851752355694771,0.9890109896659851,0.037071771919727325
0.9917582273483276,0.03319275379180908,0.9890109896659851,0.03396390378475189
0.9917582273483276,0.03363962098956108,0.9890109896659851,0.032394446432590485
0.9862637519836426,0.03564142808318138,0.9890109896659851,0.030203355476260185
0.9862637519836426,0.02987072989344597,0.9890109896659851,0.03134912997484207
0.9917582273483276,0.025956686586141586,0.9890109896659851,0.03143961727619171
0.9862637519836426,0.0320117324590683,0.9890109896659851,0.031589820981025696
0.9890109896659851,0.027546005323529243,0.9890109896659851,0.030564848333597183
0.9890109896659851,0.02973172627389431,0.9890109896659851,0.029187912121415138
0.9890109896659851,0.026115145534276962,1.0,0.028216607868671417
0.9945054650306702,0.026758015155792236,1.0,0.027016954496502876
0.9917582273483276,0.023790309205651283,1.0,0.026732785627245903
0.9890109896659851,0.022549781948328018,0.9890109896659851,0.02497817575931549
0.9945054650306702,0.020973974838852882,0.9890109896659851,0.024906666949391365
0.9917582273483276,0.02538558468222618,0.9890109896659851,0.02449784427881241
0.9917582273483276,0.023058155551552773,1.0,0.02365490049123764
0.9917582273483276,0.02674431912600994,1.0,0.023775292560458183
0.9917582273483276,0.027030525729060173,1.0,0.02289833314716816
0.9890109896659851,0.028805041685700417,1.0,0.02067248895764351
0.9890109896659851,0.020977985113859177,1.0,0.021152930334210396
0.9945054650306702,0.024328218773007393,1.0,0.02031766250729561
0.9945054650306702,0.018210140988230705,1.0,0.019582711160182953
0.9917582273483276,0.017776714637875557,1.0,0.021125150844454765
0.9945054650306702,0.015787633135914803,1.0,0.020957710221409798
0.9917582273483276,0.027042098343372345,1.0,0.019098244607448578
0.9917582273483276,0.01668618991971016,1.0,0.017521044239401817
0.9945054650306702,0.012998090125620365,1.0,0.016956834122538567
0.9890109896659851,0.024777309969067574,1.0,0.0169147290289402
0.9972527623176575,0.012516218237578869,1.0,0.016303282231092453
0.9917582273483276,0.01670529507100582,1.0,0.016563780605793
0.9917582273483276,0.017107481136918068,1.0,0.016091087833046913
0.9862637519836426,0.021624678745865822,1.0,0.01626669429242611
0.9945054650306702,0.016707846894860268,1.0,0.017250286415219307
0.9945054650306702,0.014428564347326756,1.0,0.01936904713511467
0.9972527623176575,0.015032916329801083,0.9890109896659851,0.02004973776638508
0.9972527623176575,0.01151101104915142,1.0,0.01765902154147625
0.9945054650306702,0.015805145725607872,1.0,0.01741650141775608
0.9972527623176575,0.013322025537490845,0.9890109896659851,0.019471099600195885
0.9972527623176575,0.01003921590745449,0.9890109896659851,0.016323471441864967
0.9945054650306702,0.014672989025712013,1.0,0.013812576420605183
0.9972527623176575,0.015167119912803173,1.0,0.01434381678700447
0.9972527623176575,0.010916083119809628,1.0,0.0167962945997715
0.9917582273483276,0.013524441979825497,1.0,0.017655666917562485
0.9945054650306702,0.0173427052795887,1.0,0.017784126102924347
0.9945054650306702,0.01105563621968031,1.0,0.015977103263139725
0.9945054650306702,0.012799213640391827,1.0,0.015607344917953014
0.9945054650306702,0.011471360921859741,1.0,0.01546013355255127
0.9945054650306702,0.011738824658095837,0.9890109896659851,0.017686408013105392
0.9972527623176575,0.011911989189684391,0.9890109896659851,0.017291361466050148
1.0,0.011100001633167267,1.0,0.013675812631845474
0.9972527623176575,0.006764574442058802,1.0,0.012087862938642502
0.9972527623176575,0.009553722105920315,1.0,0.013037684373557568
0.9917582273483276,0.014008094556629658,0.9890109896659851,0.014272070489823818
0.9972527623176575,0.011536086909472942,0.9890109896659851,0.014716152101755142
0.9972527623176575,0.01336013711988926,1.0,0.012783877551555634
0.9972527623176575,0.006913043092936277,1.0,0.01166698057204485
1.0,0.008360168896615505,1.0,0.012018995359539986
0.9972527623176575,0.008712774142622948,1.0,0.012701294384896755
0.9945054650306702,0.011231970973312855,1.0,0.011819706298410892
1.0,0.0073733082972466946,1.0,0.01158259715884924
1.0,0.005592240020632744,1.0,0.011264169588685036
0.9972527623176575,0.008758536539971828,1.0,0.010565374977886677
1.0,0.006932658143341541,1.0,0.010601524263620377
0.9972527623176575,0.009989571757614613,1.0,0.01110930647701025
