accuracy,loss,val_accuracy,val_loss
0.5575221180915833,1.0151517391204834,0.7931034564971924,0.821817934513092
0.752212405204773,0.7939640283584595,0.8965517282485962,0.6425756216049194
0.8584070801734924,0.6488953232765198,0.9655172228813171,0.5135980248451233
0.9115044474601746,0.5127310752868652,0.9655172228813171,0.40885472297668457
0.9292035102844238,0.4660210609436035,1.0,0.31992781162261963
0.9557521939277649,0.34636279940605164,1.0,0.25250276923179626
0.9734513163566589,0.29697272181510925,1.0,0.1981070190668106
0.9646017551422119,0.24840134382247925,1.0,0.1535211205482483
0.9646017551422119,0.20662464201450348,1.0,0.11754491925239563
0.9734513163566589,0.17562565207481384,1.0,0.09073491394519806
0.982300877571106,0.1339753419160843,1.0,0.07096979767084122
0.9734513163566589,0.14000706374645233,1.0,0.05739450082182884
1.0,0.09545820951461792,1.0,0.04678485170006752
0.991150438785553,0.09834055602550507,1.0,0.040285177528858185
0.991150438785553,0.0877930223941803,1.0,0.03518085554242134
0.982300877571106,0.0726371705532074,1.0,0.03224504739046097
0.982300877571106,0.08720529079437256,1.0,0.02928263135254383
0.991150438785553,0.060550544410943985,1.0,0.025757495313882828
1.0,0.04390281066298485,1.0,0.022321311756968498
1.0,0.04557645320892334,1.0,0.01938316784799099
1.0,0.041460733860731125,1.0,0.016984079033136368
1.0,0.0439949557185173,1.0,0.015158522874116898
0.991150438785553,0.04877782240509987,1.0,0.0136506836861372
1.0,0.04098427668213844,1.0,0.012216434814035892
1.0,0.03354553133249283,1.0,0.010992975905537605
1.0,0.030427303165197372,1.0,0.010196284390985966
1.0,0.03137907758355141,1.0,0.009567989967763424
1.0,0.025456884875893593,1.0,0.008579623885452747
1.0,0.033236417919397354,1.0,0.007788820657879114
1.0,0.018849000334739685,1.0,0.007286047097295523
1.0,0.03305881842970848,1.0,0.006568571086972952
1.0,0.019962236285209656,1.0,0.006027937866747379
1.0,0.02671072818338871,1.0,0.005440283566713333
